	Gene Symbol	Ref Seq ID
0	A2M	NM_000014
1	NAT2	NM_000015
2	ACADM	NM_000016
3	ACADS	NM_000017
4	ACADVL	NM_000018
5	ACAT1	NM_000019
6	ACVRL1	NM_000020
7	PSEN1	NM_000021
8	ADA	NM_000022
9	SGCA	NM_000023
10	ADRB2	NM_000024
11	ADRB3	NM_000025
12	ADSL	NM_000026
13	AGA	NM_000027
14	AGL	NM_000028
15	AGT	NM_000029
16	AGXT	NM_000030
17	ALAD	NM_000031
18	ALAS2	NM_000032
19	ABCD1	NM_000033
20	ALDOA	NM_000034
21	ALDOB	NM_000035
22	AMPD1	NM_000036
23	ANK1	NM_000037
24	APC	NM_000038
25	APOA1	NM_000039
26	APOC3	NM_000040
27	APOE	NM_000041
28	APOH	NM_000042
29	FAS	NM_000043
30	AR	NM_000044
31	ARG1	NM_000045
32	ARSB	NM_000046
33	ARSE	NM_000047
34	ASL	NM_000048
35	ASPA	NM_000049
36	ASS1	NM_000050
37	ATM	NM_000051
38	ATP7A	NM_000052
39	ATP7B	NM_000053
40	AVPR2	NM_000054
41	BCHE	NM_000055
42	BCKDHB	NM_000056
43	BLM	NM_000057
44	BRCA2	NM_000059
45	BTD	NM_000060
46	BTK	NM_000061
47	SERPING1	NM_000062
48	C2	NM_000063
49	C3	NM_000064
50	C6	NM_000065
51	C8B	NM_000066
52	CA2	NM_000067
53	CACNA1A	NM_000068
54	CACNA1S	NM_000069
55	CAPN3	NM_000070
56	CD36	NM_000072
57	CD3G	NM_000073
58	CD40LG	NM_000074
59	CDK4	NM_000075
60	CDKN1C	NM_000076
61	CDKN2A	NM_000077
62	CETP	NM_000078
63	CHRNA1	NM_000079
64	CHRNE	NM_000080
65	LYST	NM_000081
66	ERCC8	NM_000082
67	CLCN1	NM_000083
68	CLCN5	NM_000084
69	CLCNKB	NM_000085
70	CLN3	NM_000086
71	CNGA1	NM_000087
72	COL1A1	NM_000088
73	COL1A2	NM_000089
74	COL3A1	NM_000090
75	COL4A3	NM_000091
76	COL4A4	NM_000092
77	COL5A1	NM_000093
78	COL7A1	NM_000094
79	COMP	NM_000095
80	CP	NM_000096
81	CPOX	NM_000097
82	CPT2	NM_000098
83	CST3	NM_000099
84	CSTB	NM_000100
85	CYBA	NM_000101
86	CYP17A1	NM_000102
87	CYP19A1	NM_000103
88	CYP1B1	NM_000104
89	CYP2D6	NM_000106
90	DDB2	NM_000107
91	DLD	NM_000108
92	DMD	NM_000109
93	DPYD	NM_000110
94	SLC26A3	NM_000111
95	SLC26A2	NM_000112
96	TOR1A	NM_000113
97	EDNRB	NM_000115
98	TAZ	NM_000116
99	EMD	NM_000117
100	ENG	NM_000118
101	EPB42	NM_000119
102	EPHX1	NM_000120
103	EPOR	NM_000121
104	ERCC3	NM_000122
105	ERCC5	NM_000123
106	ERCC6	NM_000124
107	ESR1	NM_000125
108	ETFA	NM_000126
109	EXT1	NM_000127
110	F11	NM_000128
111	F13A1	NM_000129
112	F5	NM_000130
113	F7	NM_000131
114	F8	NM_000132
115	F9	NM_000133
116	FABP2	NM_000134
117	FANCA	NM_000135
118	FANCC	NM_000136
119	FAH	NM_000137
120	FBN1	NM_000138
121	MS4A2	NM_000139
122	FECH	NM_000140
123	FGFR2	NM_000141
124	FGFR3	NM_000142
125	FH	NM_000143
126	FXN	NM_000144
127	FSHR	NM_000145
128	FTL	NM_000146
129	FUCA1	NM_000147
130	FUT1	NM_000148
131	FUT3	NM_000149
132	FUT6	NM_000150
133	G6PC	NM_000151
134	GAA	NM_000152
135	GALC	NM_000153
136	GALK1	NM_000154
137	GALT	NM_000155
138	GAMT	NM_000156
139	GBA	NM_000157
140	GBE1	NM_000158
141	GCDH	NM_000159
142	GCGR	NM_000160
143	GCH1	NM_000161
144	GCK	NM_000162
145	GHR	NM_000163
146	GIPR	NM_000164
147	GJA1	NM_000165
148	GJB1	NM_000166
149	GK	NM_000167
150	GLI3	NM_000168
151	GLA	NM_000169
152	GLDC	NM_000170
153	GLRA1	NM_000171
154	GNAT1	NM_000172
155	GP1BA	NM_000173
156	GP9	NM_000174
157	GPI	NM_000175
158	NR3C1	NM_000176
159	GSN	NM_000177
160	GSS	NM_000178
161	MSH6	NM_000179
162	GUCY2D	NM_000180
163	GUSB	NM_000181
164	HADHA	NM_000182
165	HADHB	NM_000183
166	HBG2	NM_000184
167	SERPIND1	NM_000185
168	CFH	NM_000186
169	HGD	NM_000187
170	HK1	NM_000188
171	HK2	NM_000189
172	HMBS	NM_000190
173	HMGCL	NM_000191
174	TBX5	NM_000192
175	SHH	NM_000193
176	HPRT1	NM_000194
177	HPS1	NM_000195
178	HSD11B2	NM_000196
179	HSD17B3	NM_000197
180	HSD3B2	NM_000198
